Product Category,Column Name Raw,Column Name,Column Top Values,Column Unit,Column Min,Column Max,Column Definition,Approved
Notebooks,Operating system installed.3233,Operating system installed,"Windows 10 Pro', 'Windows 10 Home', 'Windows 10 Home S', 'FreeDOS', 'N'",,,,"The operating system installed on the notebook. Options include: 'Windows 10 Home', 'Windows 10 Pro', 'Windows 7 Professional', 'Windows 8.1', 'Windows 8'.",TRUE
Notebooks,Total storage capacity.3318,Total storage capacity,"256', '512', '128', '500', '1000'",GB,32,1000,"The total amount of storage space available on the notebook. This includes both the hard drive and any additional storage options, such as a CD/DVD drive or a USB drive. The value is given in gigabytes (GB).",TRUE
Notebooks,Card reader integrated.3374,Card reader integrated,False',,,,"Indicates whether the notebook has an integrated card reader. If the notebook has an integrated card reader, the value will be True. If the notebook does not have an integrated card reader, the value will be False.",TRUE
Notebooks,Front camera HD type.34721,Front camera HD type,"HD', 'Full HD'",,,,"Indicates whether the front camera on the laptop is HD or Full HD. Full HD is generally considered as having twice the resolution of HD, and therefore capturing finer details and displaying a more seamless visual experience.",TRUE
Notebooks,HDMI ports quantity.3566,HDMI ports quantity,1.0',,1,1,The HDMI ports quantity column contains the number of HDMI ports that a notebook has. The minimum value is 1.0 and the maximum value is 11.0,TRUE
Notebooks,Keyboard backlit colour.36279,Keyboard backlit colour,White',,,,"The keyboard backlit colour refers to the colour of the backlighting for the keyboard. The colour can be specified as a single colour, or a combination of colours. For example, both 'RGB' and 'Red and Blue' are valid inputs.",TRUE
Notebooks,Total SSDs capacity.37918,Total SSDs capacity,"512.0', '256.0', '128.0', '1000.0', '64.0'",GB,64,1000,The capacity of the solid state drive (SSD) in gigabytes (GB). Note that this is the total capacity of the SSD and not the usable capacity after the operating system and other software are installed.,TRUE
Notebooks,NVIDIA Max-Q.39377,NVIDIA Max-Q,,,,,"NVIDIA Max-Q is a technology that is used to reduce the heat generated by the graphics card. It does this by dynamically adjusting the clock speed of the graphics card, which reduces the power consumption and heat generation. This allows the graphics card to operate at a higher clock speed for longer periods of time, which results in better performance. The technology is used in various graphics cards, including the GeForce RTX 3080 and the GeForce RTX 3090.",TRUE
Notebooks,WLAN controller manufacturer.42190,WLAN controller manufacturer,Intel',,,,"The WLAN controller manufacturer is the company that produces the wireless local area network controller for a notebook. This controller allows the notebook to connect to a wireless network. The format of this column is a string, and the length must be between 1 and 100 characters.",TRUE
Notebooks,USB4 Gen 2x2 ports quantity.42558,USB4 Gen 2x2 ports quantity,1.0',,1,1,The quantity of USB4 Gen 2x2 ports on the notebook.,TRUE
Notebooks,Internal memory type.427,Internal memory type,"LPDDR4x-SDRAM', 'DDR4-SDRAM', 'DDR3L-SDRAM', 'LPDDR4-SDRAM', 'DDR3-SDRAM'",,,,"The type of internal memory in the notebook. Examples include DDR4-SDRAM, DDR3L-SDRAM, DDR3-SDRAM, LPDDR3-SDRAM, and LPDDR4x-SDRAM.",TRUE
Notebooks,Wi-Fi standards.432,Wi-Fi standards,"Wi-Fi 6 (802.11ax)', '802.11a', 'Wi-Fi 5 (802.11ac)', '802.11b', 'Wi-Fi 4 (802.11n)'",,,,"Wi-Fi standards that the laptop conforms to. Examples include ""Wi-Fi 6 (802.11ax)"", ""802.11a"", etc.",TRUE
Notebooks,Battery technology.434,Battery technology,"Lithium-Ion (Li-Ion)', 'Lithium Polymer (LiPo)'",,,,The type of battery technology used in the notebook. Options include 'Lithium-Ion (Li-Ion)' and 'Lithium Polymer (LiPo)'.,TRUE
Notebooks,Pointing device.440,Pointing device,"Touchpad', 'Trackpad', 'Clickpad', 'ThinkPad UltraNav'",,,,"A pointing device is a hardware component that allows users to interact with their notebooks in a more intuitive way. It can be a touchpad, trackpad, or clickpad, and some high-end models even have special features like gestures. This column will contain the name of the pointing device installed on each notebook.",TRUE
Notebooks,Processor model.47,Processor model,"i5-1035G1', 'i7-1185G7', 'i5-1145G7', '4980U', 'i3-6006U'",,,,"A string representing the model of the processor in the notebook, such as 'i5-1035G1' or 'i7-1185G7'. This column will contain values that are unique and can be used to identify different processor models.",TRUE
Notebooks,Touchscreen.4963,Touchscreen,False',,,,"Indicates whether the notebook has a touchscreen. A value of 'True' means the notebook has a touchscreen, while a value of 'False' means the notebook does not have a touchscreen.",TRUE
Notebooks,SSD interface.5584,SSD interface,"NVMe', 'SATA III', 'M.2'",,,,"The interface of the solid state drive (SSD). NVMe offers higher performance and more efficient data handling, while SATA is an older, slower standard.",TRUE
Notebooks,SSD capacity.5586,SSD capacity,"256.0', '512.0', '128.0', '1000.0', '64.0'",GB,64,1000,"The SSD capacity column contains the size of the solid state drive (SSD) in gigabytes (GB). The minimum value is 1.0 GB, and the maximum value is 5120.0 GB.",TRUE
Notebooks,Processor cores.6089,Processor cores,"4.0', '2.0', '8.0', '6.0', '5.0'",,2,8,"The number of processor cores in the notebook. This can be an integer value or a range of integer values separated by commas. Examples of values include 2, 4, 8, 6, and 1.",TRUE
Notebooks,CUDA.6583,CUDA,,,,,CUDA is a parallel computing platform and programming model invented by NVIDIA for general-purpose computations on graphical processing units. CUDA is a GPGPU computing platform and programming model invented by NVIDIA for solving general-purpose computational problems in a way that makes use of the massive thread parallelism of modern GPU hardware. CUDA is currently supported on NVIDIA's line of Kepler and newer GPUs.,TRUE
Notebooks,Memory slots.672,Memory slots,"1x SO-DIMM', '2x SO-DIMM'",,,,"Physical memory slots in the notebook for expansion. Example values are '1x SO-DIMM', and '2x SO-DIMM'.",TRUE
Notebooks,Compatible memory cards.730,Compatible memory cards,"MMC', 'MicroSD (TransFlash)'",,,,A string representing the various memory cards that are compatible with the notebook.,TRUE
Notebooks,Maximum refresh rate.7450,Maximum refresh rate,,,,,"The maximum number of times the screen can refresh, measured in hertz (Hz). This can also be expressed as the number of frames the screen can draw in a given second, and units may be interchangeably used depending on the context.",TRUE
Notebooks,Number of SSDs installed.7682,Number of SSDs installed,1.0',,1,1,The physical number of solid state drives installed on the notebook.,TRUE
Notebooks,Memory form factor.7696,Memory form factor,"On-board', 'On-board + SO-DIMM', 'SO-DIMM'",,,,"Physical implementation of main memory in a notebook. Options are On-board, On-board + SO-DIMM, and SO-DIMM.",TRUE
Notebooks,Form factor.771,Form factor,"Clamshell', 'Convertible (Folder)', 'Convertible (Floating Slider)'",,,,"The form factor of a notebook refers to its physical configuration, specifically how the screen is attached to the base of the notebook. Examples of form factors include clamshell, convertible (with a folder), convertible (with a detachable screen), convertible (with a swivel), and convertible (with a fold-back screen).",TRUE
Notebooks,Processor boost frequency.7978,Processor boost frequency,"3.6', '4.8', '4.4', '4.2', '4.0'",GHz,2.2,4.9,The frequency of the processor's boost state. This is the maximum speed the processor can reach if it is running in its boost state. The minimum value is 1.0 GHz and the maximum value is 456456456.0 GHz.,TRUE
Notebooks,Battery capacity (Watt-hours).8519,Battery capacity (Watt-hours),"47.4', '40.98', '32.0', '49.4', '39.0'",Wh,24,80,"The battery capacity of the notebook, measured in Watt-hours (Wh). The minimum value is 1.0 Wh, and the maximum value is 8500.0 Wh.",TRUE
Notebooks,On-board graphics adapter model.9016,On-board graphics adapter model,"Intel Iris Xe Graphics', 'Intel UHD Graphics', 'AMD Radeon Graphics', 'Intel HD Graphics 520', 'Intel HD Graphics 620'",,,,"The on-board graphics adapter model refers to the model of the graphics adapter that is built into the notebook. The graphics adapter is responsible for rendering and displaying images on the notebook's screen. Examples of graphics adapter models include Intel UHD Graphics, Intel HD Graphics 520, Intel Iris Xe Graphics, Intel HD Graphics 620, and Intel HD Graphics 4400.",TRUE
Notebooks,Discrete graphics adapter model.9018,Discrete graphics adapter model,"Not available', 'AMD Radeon R5 M430', 'AMD Radeon 530', 'NVIDIA GeForce GTX 1650 Ti', 'NVIDIA GeForce MX330'",,,,"The type of discrete graphics adapter, or GPU, in the notebook. Examples include AMD Radeon and NVIDIA GeForce.",TRUE
Notebooks,Discrete graphics memory type.9020,Discrete graphics memory type,"GDDR6', 'GDDR5'",,,,"The discrete graphics memory type of the notebook. Examples include GDDR5, GDDR6, GDDR3, GDDR5X, and HBM2.",TRUE
Notebooks,AC adapter power.906,AC adapter power,"65.0', '39.0', '45.0', '25.0', '30.0'",W,25,95,"The AC adapter power column contains the power rating of the AC adapter in watts (W). The minimum value is 25 W, and the maximum value is 95 W.",TRUE
Notebooks,Weight.94,Weight,"1110.0', '1900.0', '1542.0', '1265.0', '1288.0'",g,870,2790,Weight of the notebook in grams.,TRUE
Notebooks,Display diagonal.944,Display diagonal,"13.5', '12.45', '15.6', '15.0', '17.3'","""",11.6,17.3,"The display diagonal of the notebook, measured in inches. This value can be between 11.6 and 17.3.",TRUE
Notebooks,Combo headphone/mic port.9858,Combo headphone/mic port,False',,,,"Indicates whether the notebook product has a combo headphone/mic port. If the port is present, the value will be True, otherwise the value will be False.",TRUE
Notebooks,On-board graphics adapter.9997,On-board graphics adapter,False',,,,"Indicates whether the notebook has an on-board graphics adapter. If the value is 'True', the notebook has an on-board graphics adapter. If the value is 'False', the notebook does not have an on-board graphics adapter.",TRUE
Notebooks,Intel® Quick Sync Video Technology.10108,Intel Quick Sync Video Technology,False',,,,Intel Quick Sync Video Technology is a technology that allows users to connect their personal computer to a monitor or TV without the use of an HDMI cable. It is typically used for gaming or watching movies. The technology is only available on certain Intel processors.,TRUE
Notebooks,Intel® AES New Instructions (Intel® AES-NI).10194,Intel AES New Instructions (Intel AES-NI),False',,,,Intel AES-NI is a new set of instructions that have been added to the x86 architecture to accelerate the encryption and decryption of data. This new set of instructions is designed to speed up the encryption and decryption of data by using the Advanced Encryption Standard (AES) algorithm. The AES algorithm is a widely used encryption algorithm that is considered to be secure and fast. The Intel AES-NI instructions are designed to accelerate the encryption and decryption of data by using the AES algorithm.,TRUE
Notebooks,Execute Disable Bit.10196,Execute Disable Bit,False',,,,A column to indicate whether the notebook has an execute disable bit. The value is typically 'True' or 'False'.,TRUE
Notebooks,Thermal Monitoring Technologies.10199,Thermal Monitoring Technologies,False',,,,"The Thermal Monitoring Technologies column contains information about whether or not the notebook has thermal monitoring technology. If the notebook has thermal monitoring technology, the value will be True. If the notebook does not have thermal monitoring technology, the value will be False.",TRUE
Notebooks,On-board graphics adapter base frequency.10201,On-board graphics adapter base frequency,"300.0', '200.0', '350.0'",MHz,200,350,The on-board graphics adapter base frequency is the frequency of the graphics adapter built into the notebook. The graphics adapter is responsible for rendering the graphics on the notebook's display. The base frequency is the frequency at which the graphics adapter runs when it is not under stress. The base frequency is an important factor in determining the overall performance of the graphics adapter and the notebook's ability to render graphics smoothly.,TRUE
Notebooks,On-board graphics adapter dynamic frequency (max).10202,On-board graphics adapter dynamic frequency (max),"1050.0', '1000.0', '900.0', '650.0', '950.0'",MHz,650,1150,"The on-board graphics adapter dynamic frequency (max) is the maximum amount of memory the graphics adapter can access on the notebook. The graphics adapter is responsible for rendering the images on the notebook's screen. The frequency is measured in MHz, or megahertz, and represents how fast the graphics adapter can access the memory. A higher frequency allows for better graphics performance, and is typically found on more powerful gaming or professional notebooks.",TRUE
Notebooks,Tjunction.10280,Tjunction,"100.0', '105.0'",°C,100,105,The temperature of the cooling system at the point where the heat from the CPU is transferred to the cooling system. This is usually located at the base of the heat sink. The temperature should be below the maximum operating temperature of the CPU. The minimum value is 1.0 ¬∞C and the maximum value is 105.0 ¬∞C.,TRUE
Notebooks,Processor frequency.11379,Processor frequency,"1.0', '2.0', '2.5', '2.1', '1.1'",GHz,1,3,"The processor frequency of the notebook, measured in GHz. The minimum value is 0.8 GHz, and the maximum value is 1212.0 GHz.",TRUE
Notebooks,Thermal Design Power (TDP).11778,Thermal Design Power (TDP),"15.0', '6.0', '17.0'",W,6,17,"The Thermal Design Power (TDP) is the amount of power that the notebook's cooling system is designed to dissipate. This is typically measured in Watts (W). The minimum value is 1.0 W, and the maximum value is 125.0 W.",TRUE
Notebooks,Cable lock slot.1352,Cable lock slot,False',,,,"A column to indicate the presence of a physical cable lock slot on the notebook. The value should be a boolean value, either true or false.",TRUE
Notebooks,Front camera resolution.14077,Front camera resolution,1280 x 720',pixels,,,"The resolution of the front camera on the notebook. The resolution is given as a string in the format of &lt;width&gt; &times; &lt;height&gt; pixels, where the width and height are positive integers.",TRUE
Notebooks,Cable lock slot type.14097,Cable lock slot type,Kensington',,,,"The type of cable lock slot that is on the notebook. The cable lock slot is used to secure a notebook to an object to prevent theft or accidental damage. This slot can be used to secure a variety of different types of cables. The most common type of cable lock slot is the Kensington slot, which is a small, rectangular slot that is typically located on the back of a notebook. Other types of cable lock slots include the Noble slot, which is a round, keyed slot that is typically located on the side of a notebook, and the IBM slot, which is a small, rectangular slot that is typically located on the front of a notebook.",TRUE
Notebooks,Keyboard layout.1410,Keyboard layout,"QWERTY', 'QWERTZ', 'AZERTY'",,,,"The keyboard layout of the notebook. The keyboard layout is the arrangement of the keys on the keyboard. The most common keyboard layouts are QWERTY, AZERTY, QWERTZ, and QZERTY. Alphanumeric keyboards are also available.",TRUE
Notebooks,Maximum internal memory.1452,Maximum internal memory,"8.0', '16.0', '4.0', '32.0', '12.0'",GB,4,32,"The maximum internal memory of the notebook, measured in GB. Ranges from 4.0 to 32.0 GB, both inclusive.",TRUE
Notebooks,Intel TSX-NI.14803,Intel TSX-NI,False',,,,A boolean value that indicates whether the Intel TSX-NI instruction set is supported by the notebook.,TRUE
Notebooks,Intel® Secure Key.14804,Intel Secure Key,False',,,,A column that indicates whether or not the Intel Secure Key technology is installed on the notebook. Intel Secure Key is an additional security feature that helps protect against unauthorized access to the notebook.,TRUE
Notebooks,Panel type.15285,Panel type,"AMOLED', 'IPS', 'QLED', 'PLS', 'TN'",,,,"The type of display panel used in the notebook. Options include AMOLED, IPS, QLED, PLS, and TN.",TRUE
Notebooks,Intel 64.15741,Intel 64,False',,,,"A string that indicates whether the notebook has the Intel 64 architecture. If the notebook has Intel 64, the value will be True. If not, the value will be False.",TRUE
Notebooks,Processor lithography.1623,Processor lithography,"10.0', '14.0', '22.0', '28.0', '32.0'",nm,10,32,"The Processor lithography column contains information about the lithography of the processor of the notebook. The lithography is the process of printing a circuit board, and the column contains the minimum and maximum values of the lithography process used to print the processor of the notebook. The minimum value is 1.0 nm, and the maximum value is 90.0 nm.",TRUE
Notebooks,Display surface.17029,Display surface,"Matt', 'Gloss'",,,,The material that serves as the display surface of the notebook. Options include matt or gloss.,TRUE
Notebooks,Battery life (max).1721,Battery life (max),"13.0', '17.0', '16.5', '5.5', '19.0'",h,4,21,"The maximum battery life the notebook can offer, in hours (h).",TRUE
Notebooks,Intel® OS Guard.17742,Intel OS Guard,False',,,,"Whether the notebook offers Intel OS Guard, a set of instruction codes implementing trusted execution environment that are built into some Intel central processing units (CPUs).",TRUE
Notebooks,On-board graphics adapter ID.20625,On-board graphics adapter ID,"0x8A56', '1916', '0x5916', '0x5A85', '0x5A84'",,,,"The on-board graphics adapter ID of the notebook, example values are '0x8A56', '1916', but can also be blank.",TRUE
Notebooks,SSD form factor.21731,SSD form factor,"M.2', '2.5""'",,,,The form factor of the solid state drive (SSD). This can be 'M.2' or '2.5'.,TRUE
